FECHA;LOTE;UNIDAD;TIPO;MARCA;MODELO;ANHO;TRACC;COMB;GTIA_MEC;MAG;KILOMETRAJE;ADJUDIC
29-07-2020;1;BFE;STATION WAGON;CHEVROLET;SUBURBAN 4X4 5.3 AUT;2018;4x4;B;;20850000;41090;23100000
29-07-2020;2;PARTICULARES;STATION WAGON;KIA MOTORS;GRAND CARNIVAL EX 2.2 AUT;2018;4x2;D;;13000000;113459;14400000
29-07-2020;3;BFE;STATION WAGON;BMW;X1 SDRIVE20I LUXURY 2.0 AUT;2017;AWD;B;;10403228;32154;14700000
29-07-2020;4;BFE;STATION WAGON;CHEVROLET;CAPTIVA PREMIER 1.5;2020;4x2;B;;8730000;13109;13000000
29-07-2020;5;PARTICULARES;STATION WAGON;SEAT;ATECA 4X4 1.4 AUT;2020;4x4;B;;11000000;2066;13600000
29-07-2020;6;AUTOMOTORAS;HATCHBACK;PEUGEOT;308 BLUE HDI HB 1.6 AUT;2019;4x2;D;;10200000;49238;10600000
29-07-2020;7;PARTICULARES;HATCHBACK;CITROËN;C3 HDI 1.5;2020;4x2;D;;8200000;15816;10400000
29-07-2020;8;BFE;STATION WAGON;MITSUBISHI;ECLIPSE CROSS RX 1.5 AUT;2019;4x2;B;;10115000;5281;11600000
29-07-2020;9;BFE;STATION WAGON;CHEVROLET;TRACKER II LS 1.8;2019;4x2;B;;6100000;16379;9600000
29-07-2020;10;PARTICULARES;STATION WAGON;NISSAN;QASHQAI SENSE 2.0;2018;4x2;B;;8600000;29269;8800000
29-07-2020;11;AUTOMOTORAS;STATION WAGON;PEUGEOT;2008 ACTIVE BLUEHDI 1.6;2018;4x2;D;;7800000;63412;8100000
29-07-2020;12;AUTOMOTORAS;STATION WAGON;PEUGEOT;2008 ACTIVE BLUEHDI 1.6;2018;4x2;D;;7800000;63659;8100000
29-07-2020;13;AUTOMOTORAS;STATION WAGON;PEUGEOT;2008 ACTIVE BLUEHDI 1.6;2018;4x2;D;;7800000;65882;8100000
29-07-2020;14;AUTOMOTORAS;STATION WAGON;CHANGAN;CX70 T 1.5 AUT;2020;4x2;B;;7821000;12;8000000
29-07-2020;15;AUTOMOTORAS;STATION WAGON;CHANGAN;CX70 T 1.5;2020;4x2;B;;7029000;15;7800000
29-07-2020;16;AUTOMOTORAS;STATION WAGON;CHANGAN;CX70 T 1.5;2020;4x2;B;;7227000;24;6800000
29-07-2020;17;AUTOMOTORAS;STATION WAGON;CHANGAN;CX70 T 1.5;2020;4x2;B;;7227000;28;7800000
29-07-2020;18;AUTOMOTORAS;STATION WAGON;CHANGAN;CS55 1.5;2020;4x2;B;;7735000;59;6800000
29-07-2020;19;LEASING;STATION WAGON;HYUNDAI;TUCSON TL 2.0 AT;2017;4x2;B;;8250000;96739;8400000
29-07-2020;20;AUTOMOTORAS;SEDAN;PEUGEOT;301 HDI 92HP 1.6;2019;4x2;D;;7100000;37084;7200000
29-07-2020;21;AUTOMOTORAS;SEDAN;PEUGEOT;301 HDI 92HP 1.6;2019;4x2;D;;7100000;36857;6900000
29-07-2020;22;AUTOMOTORAS;SEDAN;PEUGEOT;301 HDI 92HP 1.6;2019;4x2;D;;7100000;39331;6900000
29-07-2020;23;AUTOMOTORAS;MOTOS;SUZUKI;RMZ;2017;-;B;;3150000;1;3000000
29-07-2020;24;AUTOMOTORAS;MOTOS;SUZUKI;RMZ;2017;-;B;;3150000;1;3000000
29-07-2020;25;AUTOMOTORAS;MOTOS;SUZUKI;RMZ;2017;-;B;;2100000;1;3000000
29-07-2020;26;AUTOMOTORAS;MOTOS;SUZUKI;RMZ;2017;-;B;;2100000;1;3000000
29-07-2020;27;AUTOMOTORAS;MOTOS;SUZUKI;RMZ;2017;-;B;;2100000;1;3100000
29-07-2020;28;LEASING;CAMIONETA;FORD;RANGER XLT 4X4 3.2;2018;4x4;D;;10500000;101311;10500000
29-07-2020;29;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CRT 4X4 2.4;2018;4x4;D;;7976400;65449;10100000
29-07-2020;30;LEASING;CAMIONETA;NISSAN;NP300 DCAB 4X4 2.3;2017;4x4;D;;7616000;53047;9300000
29-07-2020;31;LEASING;CAMIONETA;NISSAN;NP300 DCAB SE 4X4 2.3;2017;4x4;D;;8024000;142826;8500000
29-07-2020;32;LEASING;CAMIONETA;CHEVROLET;NEW DMAX 2.5;2018;4x4;D;;7705000;69726;8100000
29-07-2020;33;LEASING;CAMIONETA;TOYOTA;HILUX DX D CAB 2.4;2019;4x2;D;;8500000;29225;10600000
29-07-2020;34;LEASING;CAMIONETA;TOYOTA;HILUX D CAB TDI DX 2.4;2019;4x2;D;;8500000;35321;10600000
29-07-2020;35;LEASING;CAMIONETA;TOYOTA;HILUX DCAB DX 2.4;2019;4x2;D;;8500000;50803;10300000
29-07-2020;36;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CR 2.4;2018;4x2;D;;6600000;32301;8700000
29-07-2020;37;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CR 2.4;2018;4x2;D;;6600000;81562;8300000
29-07-2020;38;BFE;CAMIONETA;MITSUBISHI;L200 WORK D CAB CR 2.4;2018;4x2;D;;6715000;146276;8100000
29-07-2020;39;LEASING;CAMIONETA;FORD;RANGER XLT 4X4 3.2;2016;4x4;D;;8059200;89780;8600000
29-07-2020;40;LEASING;CAMIONETA;TOYOTA;HI LUX 2.4;2018;4x2;D;;8024000;163379;7800000
29-07-2020;41;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK POWER PLUS 4X4 2.0;2017;4x4;D;;7709000;137721;7300000
29-07-2020;42;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK POWER PLUS 4X4 2.0;2017;4x4;D;;7709000;144177;7400000
29-07-2020;43;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK POWER PLUS 4X4 2.0;2016;4x4;D;;6912000;97144;8200000
29-07-2020;44;LEASING;CAMIONETA;CHEVROLET;D MAX II 2.5;2016;4x2;D;;5629800;31895;7600000
29-07-2020;45;LEASING;CAMIONETA;CHEVROLET;D MAX II 2.5;2016;4x2;D;;5629800;84647;7300000
29-07-2020;46;LEASING;CAMIONETA;CHEVROLET;D MAX II 2.5;2016;4x2;D;;5629800;129904;7600000
29-07-2020;47;LEASING;CAMIONETA;CHEVROLET;DMAX 4WD 2.5;2017;4x4;D;;6240000;209225;6600000
29-07-2020;48;LEASING;CAMIONETA;SSANGYONG;ACTYON SPORT 2.0;2017;4x2;D;;5943000;84536;6400000
29-07-2020;49;LEASING;CAMIONETA;SSANGYONG;ACTYON SPORT 2.0;2017;4x2;D;;5712000;148075;6300000
29-07-2020;50;LEASING;CAMIONETA;SSANGYONG;ACTYON SPORT 2.0;2016;4x2;D;;7710000;120921;6300000
29-07-2020;51;LEASING;CAMIONETA;SSANGYONG;ACTYON SPORT 2.0;2016;4x2;D;;5242800;150707;6200000
29-07-2020;52;LEASING;CAMIONETA;FIAT;STRADA 1.4;2016;4x2;B;;3961800;48382;4900000
29-07-2020;53;LEASING;CAMIONETA;FIAT;STRADA TREKKING DCAB 1.4;2016;4x2;B;;3961800;175181;3900000
29-07-2020;54;LEASING;FURGON;HYUNDAI;H1 CRDI GL 2.5;2017;4x2;D;;7800000;107211;8100000
29-07-2020;55;AUTOMOTORAS;FURGON;CHANGAN;M201 DOHC 1.2;2020;4x2;B;;3645000;16;4800000
29-07-2020;56;AUTOMOTORAS;FURGON;CHANGAN;M201 DOHC 1.2;2018;4x2;B;;3160000;25;4200000
29-07-2020;57;BFE;CAMIONETA;CHANGAN;MS201 DCAB 1.2;2018;4x2;B;;2940000;35691;4600000
29-07-2020;58;LEASING;FURGON;FIAT;FIORINO 1.3;2014;4x2;D;;3037500;141113;4200000
29-07-2020;59;LIQUIDACIONES;SEDAN;KIA MOTORS;RIO 5 EX 1.4;2019;4x2;B;;1;18679;6100000
29-07-2020;60;AUTOMOTORAS;STATION WAGON;CHANGAN;CS35 1.6 AT;2018;4x2;B;;5695000;568;6000000
29-07-2020;61;AUTOMOTORAS;STATION WAGON;CHANGAN;A500 OTTO 1.5;2020;4x2;B;;5848000;31;5800000
29-07-2020;62;PARTICULARES;HATCHBACK;PEUGEOT;208 ACTIVE 1.2 AUT;2017;4x2;B;;6150000;55777;6500000
