LOTE;UNIDAD;TIPO;ANHO;TRACC;COMB;KILOMETRAJE;ADJUDIC
1;BFE;STATION WAGON;2018;4x4;B;41090;23100000
2;PARTICULARES;STATION WAGON;2018;4x2;D;113459;14400000
3;BFE;STATION WAGON;2017;4x4;B;32154;14700000
4;BFE;STATION WAGON;2020;4x2;B;13109;13000000
5;PARTICULARES;STATION WAGON;2020;4x4;B;2066;13600000
6;AUTOMOTORAS;HATCHBACK;2019;4x2;D;49238;10600000
7;PARTICULARES;HATCHBACK;2020;4x2;D;15816;10400000
8;BFE;STATION WAGON;2019;4x2;B;5281;11600000
9;BFE;STATION WAGON;2019;4x2;B;16379;9600000
10;PARTICULARES;STATION WAGON;2018;4x2;B;29269;8800000
11;AUTOMOTORAS;STATION WAGON;2018;4x2;D;63412;8100000
12;AUTOMOTORAS;STATION WAGON;2018;4x2;D;63659;8100000
13;AUTOMOTORAS;STATION WAGON;2018;4x2;D;65882;8100000
14;AUTOMOTORAS;STATION WAGON;2020;4x2;B;12;8000000
15;AUTOMOTORAS;STATION WAGON;2020;4x2;B;15;7800000
16;AUTOMOTORAS;STATION WAGON;2020;4x2;B;24;6800000
17;AUTOMOTORAS;STATION WAGON;2020;4x2;B;28;7800000
18;AUTOMOTORAS;STATION WAGON;2020;4x2;B;59;6800000
19;LEASING;STATION WAGON;2017;4x2;B;96739;8400000
20;AUTOMOTORAS;SEDAN;2019;4x2;D;37084;7200000
21;AUTOMOTORAS;SEDAN;2019;4x2;D;36857;6900000
22;AUTOMOTORAS;SEDAN;2019;4x2;D;39331;6900000
23;AUTOMOTORAS;MOTOS;2017;2x2;B;1;3000000
24;AUTOMOTORAS;MOTOS;2017;2x2;B;1;3000000
25;AUTOMOTORAS;MOTOS;2017;2x2;B;1;3000000
26;AUTOMOTORAS;MOTOS;2017;2x2;B;1;3000000
27;AUTOMOTORAS;MOTOS;2017;2x2;B;1;3100000
28;LEASING;CAMIONETA;2018;4x4;D;101311;10500000
29;LEASING;CAMIONETA;2018;4x4;D;65449;10100000
30;LEASING;CAMIONETA;2017;4x4;D;53047;9300000
31;LEASING;CAMIONETA;2017;4x4;D;142826;8500000
32;LEASING;CAMIONETA;2018;4x4;D;69726;8100000
33;LEASING;CAMIONETA;2019;4x2;D;29225;10600000
34;LEASING;CAMIONETA;2019;4x2;D;35321;10600000
35;LEASING;CAMIONETA;2019;4x2;D;50803;10300000
36;LEASING;CAMIONETA;2018;4x2;D;32301;8700000
37;LEASING;CAMIONETA;2018;4x2;D;81562;8300000
38;BFE;CAMIONETA;2018;4x2;D;146276;8100000
39;LEASING;CAMIONETA;2016;4x4;D;89780;8600000
40;LEASING;CAMIONETA;2018;4x2;D;163379;7800000
41;LEASING;CAMIONETA;2017;4x4;D;137721;7300000
42;LEASING;CAMIONETA;2017;4x4;D;144177;7400000
43;LEASING;CAMIONETA;2016;4x4;D;97144;8200000
44;LEASING;CAMIONETA;2016;4x2;D;31895;7600000
45;LEASING;CAMIONETA;2016;4x2;D;84647;7300000
46;LEASING;CAMIONETA;2016;4x2;D;129904;7600000
47;LEASING;CAMIONETA;2017;4x4;D;209225;6600000
