REMID,FECHA,LOTE,UNIDAD,MANDANTE,PLACA,TIPO,MARCA,MODELO,ANHO,TRACC,COMB,GTIA. MEC,VPCA,MINIMO,MAG,ADJUDIC.,KILOMETRAJE
865,29/07/2020,1,BFE,GMF OTRO,KPBY82,STATION WAGON,CHEVROLET,SUBURBAN 4X4 5.3 AUT,2018,4x4,B,,32050000,9800000,20850000,23100000,41090
865,29/07/2020,2,PARTICULARES,PARTICULAR,JYPJ38,STATION WAGON,KIA MOTORS,GRAND CARNIVAL EX 2.2 AUT,2018,4x2,D,,16100000,5000000,13000000,14400000,113459
865,29/07/2020,3,BFE,SANTANDER CONSUMER,JKZD70,STATION WAGON,BMW,X1 SDRIVE20I LUXURY 2.0 AUT,2017,AWD,B,,15580000,4800000,10403228,14700000,32154
865,29/07/2020,4,BFE,GMF,LRYD42,STATION WAGON,CHEVROLET,CAPTIVA PREMIER 1.5,2020,4x2,B,,12470000,3800000,8730000,13000000,13109
865,29/07/2020,5,PARTICULARES,PARTICULAR,LZDS46,STATION WAGON,SEAT,ATECA 4X4 1.4 AUT,2020,4x4,B,,15600000,4800000,11000000,13600000,2066
865,29/07/2020,6,AUTOMOTORAS,PEUGEOT,LBRC16,HATCHBACK,PEUGEOT,308 BLUE HDI HB 1.6 AUT,2019,4x2,D,,12300000,3800000,10200000,10600000,49238
865,29/07/2020,7,PARTICULARES,PARTICULAR,LWVF27,HATCHBACK,CITROËN,C3 HDI 1.5,2020,4x2,D,,9300000,2800000,8200000,10400000,15816
865,29/07/2020,8,BFE,SANTANDER CONSUMER,LRBF23,STATION WAGON,MITSUBISHI,ECLIPSE CROSS RX 1.5 AUT,2019,4x2,B,,12120000,3800000,10115000,11600000,5281
865,29/07/2020,9,BFE,GMF,LFXS27,STATION WAGON,CHEVROLET,TRACKER II LS 1.8,2019,4x2,B,,8770000,2800000,6100000,9600000,16379
865,29/07/2020,10,PARTICULARES,PARTICULAR,KBVL46,STATION WAGON,NISSAN,QASHQAI SENSE 2.0,2018,4x2,B,,9800000,3000000,8600000,8800000,29269
865,29/07/2020,11,AUTOMOTORAS,PEUGEOT,KLDV17,STATION WAGON,PEUGEOT,2008 ACTIVE BLUEHDI 1.6,2018,4x2,D,,9500000,3000000,7800000,8100000,63412
865,29/07/2020,12,AUTOMOTORAS,PEUGEOT,KTWC19,STATION WAGON,PEUGEOT,2008 ACTIVE BLUEHDI 1.6,2018,4x2,D,,9500000,3000000,7800000,8100000,63659
865,29/07/2020,13,AUTOMOTORAS,PEUGEOT,KTRH58,STATION WAGON,PEUGEOT,2008 ACTIVE BLUEHDI 1.6,2018,4x2,D,,9500000,3000000,7800000,8100000,65882
865,29/07/2020,14,AUTOMOTORAS,DERCO,PFXW71,STATION WAGON,CHANGAN,CX70 T 1.5 AUT,2020,4x2,B,,9900000,3000000,7821000,8000000,12
